movie_id,movie_cname,movie_year,movie_vote,movie_score,info_link,category,country,comment,evaluation,actors,director,movieWatched,movieWanttw,movieSummary
3765826,蒙古草原，天气晴,2006-06-03,43088,9.7,https:\/\/movie.douban.com\/subject\/3765826\/,纪录片,日本,16529,43087,普洁 ,山田和也 ,48783,68708,1999年秋天，日本探险家关野吉晴正骑着脚踏车横越蒙古，偶遇了年仅6岁、桀敖不驯的蒙古女孩普洁。他想用相机拍摄她的模样，但她拒绝了：“如果你只是来这儿拍照的，那走开吧！” 然而，这却开启了他们之间的友谊。普洁很小就学会牧羊、骑马，蒙古社会与经济形态的转型为生活带来更大的考验。普洁在妈妈的坚持下到学校上学，这让她的梦想多了一双翅膀，飞跃蒙古草原……
26236632,三十二,2014-03-30,73039,9.5,https:\/\/movie.douban.com\/subject\/26236632\/,纪录片,中国大陆,22193,73039,韦绍兰 罗善学 ,郭柯 ,173824,106419,《三十二》试图走进一个“慰安妇”的内心世界，是一部纪录片。“慰安妇”这三个字，曾经在多少中国人心里被披上“中国耻辱”的外衣。曾几何时，又是多么敏感的一个词。多少人想揭，却不敢活生生揭开；多少人想拍，又怕打扰到她们的生活。这是一段疼痛的历史，每个中国人心知肚明。
27615467,大法官金斯伯格,2018-01-21,71716,9.4,https:\/\/movie.douban.com\/subject\/27615467\/,"传记,纪录片",美国,28739,71716,鲁斯·巴德·金斯伯格 比尔·克林顿 奥林·G·哈奇 拉什·林博 安东宁·斯卡利亚 格洛丽亚·斯泰纳姆 妮娜·托滕贝格 乔治·W· 布什 巴拉克·奥巴马 唐纳德·特朗普 西奥多·奥尔森 ,朱莉·科昂 贝齐·韦斯特 Julie Cohen ,94004,107038,本片已获得2018年美国国家评论协会奖，并成为2019年奥斯卡最佳纪录片的有力竞争者。84岁高龄的美国最高法大法官鲁斯·巴德·金斯堡是一位受到各国人士尊敬的传奇。常被简称为RBG的金斯堡大法官已经是当代文化符号。本片记述了金斯堡的人生历程。金斯堡的父亲是第一代美国移民，母亲是第二代移民。他们教给女儿独立自强的观念。金斯堡从小勤奋好学。考取哈佛法学院后，她结识了丈夫马丁。金斯堡之后成为著名的女权律师，在争取美国女性平等的工作、教育和发展权利方面有杰出贡献。她的丈夫一直非常支持她的事业。夫妻俩并肩拼事业、为公益，并抚养大孩子。金斯堡在1993年被克林顿任命为美国联邦法院大法官。在特朗普时代，立场中立的金斯堡被看作是秉公平权的一盏明灯。经历了丈夫患癌症以及自身两次患癌症等困难，金斯堡仍然坚守岗位，永不退缩。在当代美国金斯堡不仅是律政传奇，更成为了大众文化的...
3442220,海豚湾,2009-07-31,351299,9.3,https:\/\/movie.douban.com\/subject\/3442220\/,纪录片,美国,82879,351299,路易·西霍尤斯 Hayato Sakurai Mandy-Rae Cruikshank Kirk Krack 伊莎贝尔·卢卡斯 海顿·潘妮蒂尔 John Chisholm ,路易·西霍尤斯 ,547772,292728,日本和歌山县太地，是一个景色优美的小渔村，然而这里却常年上演着惨无人道的一幕。每年，数以万计的海豚经过这片海域，他们的旅程却在太地戛然而止。渔民们将海豚驱赶到靠近岸边的一个地方，来自世界各地的海豚训练师挑选合适的对象，剩下的大批海豚则被渔民毫无理由地赶尽杀绝。这些屠杀，这些罪行，因为种种利益而被政府和相关组织所隐瞒。
4167113,久石让在武道馆：与宫崎骏动画一同走过的25年,2008-08-05,14083,9.7,https:\/\/movie.douban.com\/subject\/4167113\/,"纪录片,音乐",日本,4167,14083,久石让 大桥望美 高畑勋 宫崎骏 ,x,18469,18865,《久石譲in武道馆 ～宫崎アニメと共に歩んだ25年间～》于08年8月5日在日本武道馆举行。曲目全部取材于25年来为宫崎骏动画写的配乐，并由久石让亲自上台指挥和弹奏，配以200人交响乐团和800人的合唱团，份量十足。
25978207,亲爱的，不要跨过那条江,2014-11-27,56901,9.3,https:\/\/movie.douban.com\/subject\/25978207\/,"爱情,纪录片,家庭",韩国,18880,56901,x,陈模瑛 ,78002,99592,"《亲爱的,不要跨过那条江》讲述了89岁老奶奶姜溪烈（音）和比她大9岁的老爷爷赵炳万（音）夫妇的故事。影片以江原道橫城山村的自然景色为背景，讲述像恋人一样度过76年的“肉麻情侣”老夫妇甜蜜生活的场景和突然的离别。"
26602234,冲天,2015-12-11,15086,9.4,https:\/\/movie.douban.com\/subject\/26602234\/,纪录片,中国台湾,6147,15086,金士杰 张艾嘉 蔡灿得 贾静雯 ,张钊维 ,19042,30061,曾经有那么一群年轻人，每一次起飞都可能永别，每一次落地都必须感谢上苍。他们战斗在云霄，胜败一瞬间。他们必须无所畏惧，但也无所遁逃。他们是螺旋桨时代的最后一批战斗机飞行员，他们所面对的敌人，以及生死，都在目视可及的范围内，一如十九世纪的贵族决斗。
35185752,我的章鱼老师,2020-09-07,41386,9.3,https:\/\/movie.douban.com\/subject\/35185752\/,纪录片,南非,16985,41386,克雷格·福斯特 ,皮帕·埃尔利希 詹姆斯·里德 ,48220,54507,在花了数年时间拍摄地球上一些最危险的动物后，克雷格·福斯特疲惫不堪、情绪低落，并且家庭关系也陷入混乱之中。他决定暂停自己的事业，并回到家乡南非开普敦，重返海岸附近的海藻林，这里的神奇水下世界是他的原点。近十年来，克雷格每天都要在冰冷的海水中潜水，在地球上捕食者最密集的地方之一脱掉 潜水服和潜水装备。他遇到并追踪的普通章鱼最初是他的研究对象，然后成为了他的老师，向他展示了人类从未见过的东西。《我的章鱼老师》拍摄用时超过 8 年，拍摄了 3000 个小时，记录了独特的友谊和互动以及前所未见的动物智慧。
10741871,地球之盐,2014-10-15,38748,9.3,https:\/\/movie.douban.com\/subject\/10741871\/,"传记,纪录片","法国,意大利,巴西",13897,38748,塞巴斯蒂昂·萨尔加多 维姆·文德斯 朱利安·诺里贝罗·萨尔加多 ,维姆·文德斯 朱利安·诺里贝罗·萨尔加多 ,54968,100117,他的镜头是打开的心眼，在最细微处直视灵魂，看到巴西巨坑五万掏金者的集体面相，看到科威特油井冲天大火的真正英雄，看到非洲的死亡延续着生存。每次的拍摄方案都是经年的万里长征，是人神共舞，每次成果都引起巨大回响。合导的儿子伴着老爸远征，只见他用海象的视角，拍出但丁的地狱。再来到地球重病的现在，他重建了一座森林。云温达斯最心仪的传奇摄影师萨尔加多，就是大地之盐。获康城影展某种观点评审团特别奖，入围角逐奥斯卡最佳纪录片。
4073872,算命,2009,40177,9.2,https:\/\/movie.douban.com\/subject\/4073872\/,纪录片,中国大陆,13980,40177,历百程 石珍珠 唐小雁 ,徐童 ,49646,75955,历百程孤独半生，40多岁的时候碰到石珍珠——她因为残障，在老家倍受虐待，两人从此开始一起生活；
